COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
BELGIUM,BALANCE,NATGASCM,INDPROD,DEC2023,2.3
BELGIUM,BALANCE,NATGASCM,INDPROD,YTD2022,27.3
BELGIUM,BALANCE,NATGASCM,INDPROD,YTD2023,25.5
BELGIUM,BALANCE,NATGASCM,STCHANAT,2021,-13.9
BELGIUM,BALANCE,NATGASCM,STCHANAT,2022,135.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,4Q2023,-107.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,DEC2022,-128.9
BELGIUM,BALANCE,NATGASCM,STCHANAT,DEC2023,-86.0
BELGIUM,BALANCE,NATGASCM,STCHANAT,YTD2022,135.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,YTD2023,86.6
BELGIUM,BALANCE,NATGASCM,TOTENTSB,2021,41005.2
BELGIUM,BALANCE,NATGASCM,TOTENTSB,2022,61082.7
BELGIUM,BALANCE,NATGASCM,TOTENTSB,4Q2023,12792.7
BELGIUM,BALANCE,NATGASCM,TOTENTSB,DEC2022,5577.8
BELGIUM,BALANCE,NATGASCM,TOTENTSB,DEC2023,4566.0
BELGIUM,BALANCE,NATGASCM,TOTENTSB,YTD2022,61082.7
BELGIUM,BALANCE,NATGASCM,TOTENTSB,YTD2023,51840.7
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,2021,22707.729
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,2022,45206.4
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,4Q2023,8767.8
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,DEC2022,3848.8
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,DEC2023,3009.2
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,YTD2022,45206.4
BELGIUM,BALANCE,NATGASCM,TOTEXTSB,YTD2023,36994.0
CANADA,BALANCE,NATGASCM,GDINCTRO,2021,138138.917
CANADA,BALANCE,NATGASCM,GDINCTRO,2022,145160.919
CANADA,BALANCE,NATGASCM,GDINCTRO,4Q2023,40158.613
CANADA,BALANCE,NATGASCM,GDINCTRO,DEC2022,15926.086
CANADA,BALANCE,NATGASCM,GDINCTRO,DEC2023,14667.498
CANADA,BALANCE,NATGASCM,GDINCTRO,YTD2022,145160.919
CANADA,BALANCE,NATGASCM,GDINCTRO,YTD2023,143953.091
CANADA,BALANCE,NATGASCM,INDPROD,2021,190348.203
CANADA,BALANCE,NATGASCM,INDPROD,2022,203342.346
CANADA,BALANCE,NATGASCM,INDPROD,4Q2023,53798.821
CANADA,BALANCE,NATGASCM,INDPROD,DEC2022,17765.825
CANADA,BALANCE,NATGASCM,INDPROD,DEC2023,18521.309
CANADA,BALANCE,NATGASCM,INDPROD,YTD2022,203342.346
CANADA,BALANCE,NATGASCM,INDPROD,YTD2023,207794.347
CANADA,BALANCE,NATGASCM,STCHANAT,2021,-2810.319
CANADA,BALANCE,NATGASCM,STCHANAT,2022,-1670.141
CANADA,BALANCE,NATGASCM,STCHANAT,4Q2023,-608.453
CANADA,BALANCE,NATGASCM,STCHANAT,DEC2022,-3732.946
CANADA,BALANCE,NATGASCM,STCHANAT,DEC2023,-944.549
CANADA,BALANCE,NATGASCM,STCHANAT,YTD2022,-1670.141
CANADA,BALANCE,NATGASCM,STCHANAT,YTD2023,6936.011
CANADA,BALANCE,NATGASCM,TOTENTSB,2021,24540.613
CANADA,BALANCE,NATGASCM,TOTENTSB,2022,25427.189
CANADA,BALANCE,NATGASCM,TOTENTSB,4Q2023,5786.304
CANADA,BALANCE,NATGASCM,TOTENTSB,DEC2022,2638.188
CANADA,BALANCE,NATGASCM,TOTENTSB,DEC2023,2178.748
CANADA,BALANCE,NATGASCM,TOTENTSB,YTD2022,25427.189
CANADA,BALANCE,NATGASCM,TOTENTSB,YTD2023,25213.177
CANADA,BALANCE,NATGASCM,TOTEXTSB,2021,79560.218
CANADA,BALANCE,NATGASCM,TOTEXTSB,2022,85278.757
CANADA,BALANCE,NATGASCM,TOTEXTSB,4Q2023,20034.965
CANADA,BALANCE,NATGASCM,TOTEXTSB,DEC2022,8210.873
CANADA,BALANCE,NATGASCM,TOTEXTSB,DEC2023,6977.108
CANADA,BALANCE,NATGASCM,TOTEXTSB,YTD2022,85278.757
CANADA,BALANCE,NATGASCM,TOTEXTSB,YTD2023,82118.422
CHILE,BALANCE,NATGASCM,GDINCTRO,2021,6270.0
CHILE,BALANCE,NATGASCM,GDINCTRO,2022,6855.0
CHILE,BALANCE,NATGASCM,GDINCTRO,4Q2023,1197.0
CHILE,BALANCE,NATGASCM,GDINCTRO,DEC2022,563.0
CHILE,BALANCE,NATGASCM,GDINCTRO,DEC2023,353.0
CHILE,BALANCE,NATGASCM,GDINCTRO,YTD2022,6855.0
CHILE,BALANCE,NATGASCM,GDINCTRO,YTD2023,6618.0
CHILE,BALANCE,NATGASCM,INDPROD,2021,1275.0
CHILE,BALANCE,NATGASCM,INDPROD,2022,1387.0
CHILE,BALANCE,NATGASCM,INDPROD,4Q2023,312.0
CHILE,BALANCE,NATGASCM,INDPROD,DEC2022,112.0
CHILE,BALANCE,NATGASCM,INDPROD,DEC2023,91.0
CHILE,BALANCE,NATGASCM,INDPROD,YTD2022,1387.0
CHILE,BALANCE,NATGASCM,INDPROD,YTD2023,1382.0
CHILE,BALANCE,NATGASCM,STCHANAT,2021,15.0
CHILE,BALANCE,NATGASCM,STCHANAT,2022,63.0
CHILE,BALANCE,NATGASCM,STCHANAT,4Q2023,-98.0
CHILE,BALANCE,NATGASCM,STCHANAT,DEC2022,-13.0
CHILE,BALANCE,NATGASCM,STCHANAT,DEC2023,-112.0
CHILE,BALANCE,NATGASCM,STCHANAT,YTD2022,63.0
CHILE,BALANCE,NATGASCM,STCHANAT,YTD2023,-103.0
CHILE,BALANCE,NATGASCM,TOTENTSB,2021,4488.5
CHILE,BALANCE,NATGASCM,TOTENTSB,2022,5356.1
CHILE,BALANCE,NATGASCM,TOTENTSB,4Q2023,816.427
CHILE,BALANCE,NATGASCM,TOTENTSB,DEC2022,402.8
CHILE,BALANCE,NATGASCM,TOTENTSB,DEC2023,275.0
CHILE,BALANCE,NATGASCM,TOTENTSB,YTD2022,5356.1
CHILE,BALANCE,NATGASCM,TOTENTSB,YTD2023,3692.747
CZECH,BALANCE,NATGASCM,GDINCTRO,2021,9458.997
CZECH,BALANCE,NATGASCM,GDINCTRO,2022,7608.669
CZECH,BALANCE,NATGASCM,GDINCTRO,4Q2023,2098.296
CZECH,BALANCE,NATGASCM,GDINCTRO,DEC2022,973.033
CZECH,BALANCE,NATGASCM,GDINCTRO,DEC2023,886.831
CZECH,BALANCE,NATGASCM,GDINCTRO,YTD2022,7608.669
CZECH,BALANCE,NATGASCM,GDINCTRO,YTD2023,6831.643
CZECH,BALANCE,NATGASCM,INDPROD,2021,203.801
CZECH,BALANCE,NATGASCM,INDPROD,2022,223.58
CZECH,BALANCE,NATGASCM,INDPROD,4Q2023,34.958
CZECH,BALANCE,NATGASCM,INDPROD,DEC2022,19.74
CZECH,BALANCE,NATGASCM,INDPROD,DEC2023,13.336
CZECH,BALANCE,NATGASCM,INDPROD,YTD2022,223.58
CZECH,BALANCE,NATGASCM,INDPROD,YTD2023,163.82
CZECH,BALANCE,NATGASCM,STCHANAT,2021,-536.3
CZECH,BALANCE,NATGASCM,STCHANAT,2022,1232.328
CZECH,BALANCE,NATGASCM,STCHANAT,4Q2023,-279.058
CZECH,BALANCE,NATGASCM,STCHANAT,DEC2022,-393.665
CZECH,BALANCE,NATGASCM,STCHANAT,DEC2023,-204.598
CZECH,BALANCE,NATGASCM,STCHANAT,YTD2022,1232.328
CZECH,BALANCE,NATGASCM,STCHANAT,YTD2023,140.445
CZECH,BALANCE,NATGASCM,TOTENTSB,2021,45652.259
CZECH,BALANCE,NATGASCM,TOTENTSB,2022,27084.576
CZECH,BALANCE,NATGASCM,TOTENTSB,4Q2023,1886.379
CZECH,BALANCE,NATGASCM,TOTENTSB,DEC2022,615.205
CZECH,BALANCE,NATGASCM,TOTENTSB,DEC2023,700.718
CZECH,BALANCE,NATGASCM,TOTENTSB,YTD2022,27084.576
CZECH,BALANCE,NATGASCM,TOTENTSB,YTD2023,7832.652
CZECH,BALANCE,NATGASCM,TOTEXTSB,2021,36933.363
CZECH,BALANCE,NATGASCM,TOTEXTSB,2022,18467.159
CZECH,BALANCE,NATGASCM,TOTEXTSB,4Q2023,102.099
CZECH,BALANCE,NATGASCM,TOTEXTSB,DEC2022,55.577
CZECH,BALANCE,NATGASCM,TOTEXTSB,DEC2023,31.821
CZECH,BALANCE,NATGASCM,TOTEXTSB,YTD2022,18467.159
CZECH,BALANCE,NATGASCM,TOTEXTSB,YTD2023,1024.382
DENMARK,BALANCE,NATGASCM,GDINCTRO,2021,2960.187
DENMARK,BALANCE,NATGASCM,GDINCTRO,2022,2328.869
DENMARK,BALANCE,NATGASCM,GDINCTRO,4Q2023,722.135
DENMARK,BALANCE,NATGASCM,GDINCTRO,DEC2022,281.755
DENMARK,BALANCE,NATGASCM,GDINCTRO,DEC2023,280.168
DENMARK,BALANCE,NATGASCM,GDINCTRO,YTD2022,2328.869
DENMARK,BALANCE,NATGASCM,GDINCTRO,YTD2023,2346.166
DENMARK,BALANCE,NATGASCM,INDPROD,2021,1917.927
DENMARK,BALANCE,NATGASCM,INDPROD,2022,1982.432
DENMARK,BALANCE,NATGASCM,INDPROD,4Q2023,529.131
DENMARK,BALANCE,NATGASCM,INDPROD,DEC2022,183.128
DENMARK,BALANCE,NATGASCM,INDPROD,DEC2023,181.188
DENMARK,BALANCE,NATGASCM,INDPROD,YTD2022,1982.432
DENMARK,BALANCE,NATGASCM,INDPROD,YTD2023,2064.027
DENMARK,BALANCE,NATGASCM,STCHANAT,2021,-309.807
DENMARK,BALANCE,NATGASCM,STCHANAT,2022,249.737
DENMARK,BALANCE,NATGASCM,STCHANAT,4Q2023,13.674
DENMARK,BALANCE,NATGASCM,STCHANAT,DEC2022,-60.554
DENMARK,BALANCE,NATGASCM,STCHANAT,DEC2023,-6.271
DENMARK,BALANCE,NATGASCM,STCHANAT,YTD2022,249.737
DENMARK,BALANCE,NATGASCM,STCHANAT,YTD2023,6.851
DENMARK,BALANCE,NATGASCM,TOTENTSB,2021,2508.217
DENMARK,BALANCE,NATGASCM,TOTENTSB,2022,2723.201
DENMARK,BALANCE,NATGASCM,TOTENTSB,4Q2023,2383.064
DENMARK,BALANCE,NATGASCM,TOTENTSB,DEC2022,523.042
DENMARK,BALANCE,NATGASCM,TOTENTSB,DEC2023,809.289
DENMARK,BALANCE,NATGASCM,TOTENTSB,YTD2022,2723.201
DENMARK,BALANCE,NATGASCM,TOTENTSB,YTD2023,8612.404
DENMARK,BALANCE,NATGASCM,TOTEXTSB,2021,1740.526
DENMARK,BALANCE,NATGASCM,TOTEXTSB,2022,2152.668
DENMARK,BALANCE,NATGASCM,TOTEXTSB,4Q2023,2187.915
DENMARK,BALANCE,NATGASCM,TOTEXTSB,DEC2022,484.896
DENMARK,BALANCE,NATGASCM,TOTEXTSB,DEC2023,719.219
DENMARK,BALANCE,NATGASCM,TOTEXTSB,YTD2022,2152.668
DENMARK,BALANCE,NATGASCM,TOTEXTSB,YTD2023,8393.339
ESTONIA,BALANCE,NATGASCM,GDINCTRO,2021,477.4
ESTONIA,BALANCE,NATGASCM,GDINCTRO,2022,353.4
ESTONIA,BALANCE,NATGASCM,GDINCTRO,4Q2023,118.1
ESTONIA,BALANCE,NATGASCM,GDINCTRO,DEC2022,42.8
ESTONIA,BALANCE,NATGASCM,GDINCTRO,DEC2023,50.8
ESTONIA,BALANCE,NATGASCM,GDINCTRO,YTD2022,353.4
ESTONIA,BALANCE,NATGASCM,GDINCTRO,YTD2023,318.4
ESTONIA,BALANCE,NATGASCM,TOTENTSB,2021,1060.094
ESTONIA,BALANCE,NATGASCM,TOTENTSB,2022,1063.641
ESTONIA,BALANCE,NATGASCM,TOTENTSB,4Q2023,138.2
ESTONIA,BALANCE,NATGASCM,TOTENTSB,DEC2022,128.442
ESTONIA,BALANCE,NATGASCM,TOTENTSB,DEC2023,50.8
ESTONIA,BALANCE,NATGASCM,TOTENTSB,YTD2022,1063.641
ESTONIA,BALANCE,NATGASCM,TOTENTSB,YTD2023,991.2
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,2021,582.718
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,2022,710.356
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,4Q2023,20.1
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,DEC2022,85.673
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,YTD2022,710.356
ESTONIA,BALANCE,NATGASCM,TOTEXTSB,YTD2023,672.8
FINLAND,BALANCE,NATGASCM,GDINCTRO,2021,2419.765
FINLAND,BALANCE,NATGASCM,GDINCTRO,2022,1280.401
FINLAND,BALANCE,NATGASCM,GDINCTRO,4Q2023,488.746
FINLAND,BALANCE,NATGASCM,GDINCTRO,DEC2022,89.095
FINLAND,BALANCE,NATGASCM,GDINCTRO,DEC2023,182.52
FINLAND,BALANCE,NATGASCM,GDINCTRO,YTD2022,1280.401
FINLAND,BALANCE,NATGASCM,GDINCTRO,YTD2023,1593.93
FINLAND,BALANCE,NATGASCM,INDPROD,2021,12.0
FINLAND,BALANCE,NATGASCM,INDPROD,2022,12.0
FINLAND,BALANCE,NATGASCM,INDPROD,4Q2023,3.3
FINLAND,BALANCE,NATGASCM,INDPROD,DEC2022,1.0
FINLAND,BALANCE,NATGASCM,INDPROD,DEC2023,1.0
FINLAND,BALANCE,NATGASCM,INDPROD,YTD2022,12.0
FINLAND,BALANCE,NATGASCM,INDPROD,YTD2023,12.3
FINLAND,BALANCE,NATGASCM,STCHANAT,2021,-10.0
FINLAND,BALANCE,NATGASCM,STCHANAT,2022,42.0
FINLAND,BALANCE,NATGASCM,STCHANAT,4Q2023,68.0
FINLAND,BALANCE,NATGASCM,STCHANAT,DEC2022,33.0
FINLAND,BALANCE,NATGASCM,STCHANAT,DEC2023,29.0
FINLAND,BALANCE,NATGASCM,STCHANAT,YTD2022,42.0
FINLAND,BALANCE,NATGASCM,STCHANAT,YTD2023,55.0
FINLAND,BALANCE,NATGASCM,TOTENTSB,2021,2630.0
FINLAND,BALANCE,NATGASCM,TOTENTSB,2022,1418.94
FINLAND,BALANCE,NATGASCM,TOTENTSB,4Q2023,583.44
FINLAND,BALANCE,NATGASCM,TOTENTSB,DEC2022,121.5
FINLAND,BALANCE,NATGASCM,TOTENTSB,DEC2023,212.0
FINLAND,BALANCE,NATGASCM,TOTENTSB,YTD2022,1418.94
FINLAND,BALANCE,NATGASCM,TOTENTSB,YTD2023,2120.16
FINLAND,BALANCE,NATGASCM,TOTEXTSB,2021,244.0
FINLAND,BALANCE,NATGASCM,TOTEXTSB,2022,107.279
FINLAND,BALANCE,NATGASCM,TOTEXTSB,4Q2023,29.544
FINLAND,BALANCE,NATGASCM,TOTEXTSB,DEC2022,0.3
FINLAND,BALANCE,NATGASCM,TOTEXTSB,DEC2023,1.33
FINLAND,BALANCE,NATGASCM,TOTEXTSB,YTD2022,107.279
FINLAND,BALANCE,NATGASCM,TOTEXTSB,YTD2023,481.744
FRANCE,BALANCE,NATGASCM,GDINCTRO,2021,40866.655
FRANCE,BALANCE,NATGASCM,GDINCTRO,2022,36964.083
FRANCE,BALANCE,NATGASCM,GDINCTRO,4Q2023,9739.574
FRANCE,BALANCE,NATGASCM,GDINCTRO,DEC2022,4944.227
FRANCE,BALANCE,NATGASCM,GDINCTRO,DEC2023,4214.08
FRANCE,BALANCE,NATGASCM,GDINCTRO,YTD2022,36964.083
FRANCE,BALANCE,NATGASCM,GDINCTRO,YTD2023,32632.592
FRANCE,BALANCE,NATGASCM,INDPROD,2021,396.261
FRANCE,BALANCE,NATGASCM,INDPROD,2022,619.428
FRANCE,BALANCE,NATGASCM,INDPROD,4Q2023,227.568
FRANCE,BALANCE,NATGASCM,INDPROD,DEC2022,61.477
FRANCE,BALANCE,NATGASCM,INDPROD,DEC2023,79.313
FRANCE,BALANCE,NATGASCM,INDPROD,YTD2022,619.428
FRANCE,BALANCE,NATGASCM,INDPROD,YTD2023,803.79
FRANCE,BALANCE,NATGASCM,STCHANAT,2021,-1553.438
FRANCE,BALANCE,NATGASCM,STCHANAT,2022,3234.671
FRANCE,BALANCE,NATGASCM,STCHANAT,4Q2023,-1140.622
FRANCE,BALANCE,NATGASCM,STCHANAT,DEC2022,-1483.65
FRANCE,BALANCE,NATGASCM,STCHANAT,DEC2023,-1440.789
FRANCE,BALANCE,NATGASCM,STCHANAT,YTD2022,3234.671
FRANCE,BALANCE,NATGASCM,STCHANAT,YTD2023,-38.196
FRANCE,BALANCE,NATGASCM,TOTENTSB,2021,45409.757
FRANCE,BALANCE,NATGASCM,TOTENTSB,2022,55302.14
FRANCE,BALANCE,NATGASCM,TOTENTSB,4Q2023,12755.572
FRANCE,BALANCE,NATGASCM,TOTENTSB,DEC2022,4944.886
FRANCE,BALANCE,NATGASCM,TOTENTSB,DEC2023,4273.119
FRANCE,BALANCE,NATGASCM,TOTENTSB,YTD2022,55302.14
FRANCE,BALANCE,NATGASCM,TOTENTSB,YTD2023,46112.536
FRANCE,BALANCE,NATGASCM,TOTEXTSB,2021,5788.097
FRANCE,BALANCE,NATGASCM,TOTEXTSB,2022,15232.416
FRANCE,BALANCE,NATGASCM,TOTEXTSB,4Q2023,4260.699
FRANCE,BALANCE,NATGASCM,TOTEXTSB,DEC2022,1474.492
FRANCE,BALANCE,NATGASCM,TOTEXTSB,DEC2023,1516.15
FRANCE,BALANCE,NATGASCM,TOTEXTSB,YTD2022,15232.416
FRANCE,BALANCE,NATGASCM,TOTEXTSB,YTD2023,14088.556
GERMANY,BALANCE,NATGASCM,GDINCTRO,2021,93626.68
GERMANY,BALANCE,NATGASCM,GDINCTRO,2022,79259.121
GERMANY,BALANCE,NATGASCM,GDINCTRO,4Q2023,22918.792
GERMANY,BALANCE,NATGASCM,GDINCTRO,DEC2022,9942.489
GERMANY,BALANCE,NATGASCM,GDINCTRO,DEC2023,9551.108
GERMANY,BALANCE,NATGASCM,GDINCTRO,YTD2022,79259.121
GERMANY,BALANCE,NATGASCM,GDINCTRO,YTD2023,76486.085
GERMANY,BALANCE,NATGASCM,INDPROD,2021,4806.0
GERMANY,BALANCE,NATGASCM,INDPROD,2022,4569.0
GERMANY,BALANCE,NATGASCM,INDPROD,4Q2023,1031.0
GERMANY,BALANCE,NATGASCM,INDPROD,DEC2022,377.0
GERMANY,BALANCE,NATGASCM,INDPROD,DEC2023,357.0
GERMANY,BALANCE,NATGASCM,INDPROD,YTD2022,4569.0
GERMANY,BALANCE,NATGASCM,INDPROD,YTD2023,4088.0
GERMANY,BALANCE,NATGASCM,STCHANAT,2021,-5667.0
GERMANY,BALANCE,NATGASCM,STCHANAT,2022,9418.0
GERMANY,BALANCE,NATGASCM,STCHANAT,4Q2023,-1001.0
GERMANY,BALANCE,NATGASCM,STCHANAT,DEC2022,-1859.0
GERMANY,BALANCE,NATGASCM,STCHANAT,DEC2023,-1270.0
GERMANY,BALANCE,NATGASCM,STCHANAT,YTD2022,9418.0
GERMANY,BALANCE,NATGASCM,STCHANAT,YTD2023,-1023.0
GERMANY,BALANCE,NATGASCM,TOTENTSB,2021,154452.948
GERMANY,BALANCE,NATGASCM,TOTENTSB,2022,133624.219
GERMANY,BALANCE,NATGASCM,TOTENTSB,4Q2023,23605.085
GERMANY,BALANCE,NATGASCM,TOTENTSB,DEC2022,9093.552
GERMANY,BALANCE,NATGASCM,TOTENTSB,DEC2023,8735.96
GERMANY,BALANCE,NATGASCM,TOTENTSB,YTD2022,133624.219
GERMANY,BALANCE,NATGASCM,TOTENTSB,YTD2023,91288.391
GERMANY,BALANCE,NATGASCM,TOTEXTSB,2021,71299.268
GERMANY,BALANCE,NATGASCM,TOTEXTSB,2022,49516.098
GERMANY,BALANCE,NATGASCM,TOTEXTSB,4Q2023,2718.293
GERMANY,BALANCE,NATGASCM,TOTEXTSB,DEC2022,1387.063
GERMANY,BALANCE,NATGASCM,TOTEXTSB,DEC2023,811.852
GERMANY,BALANCE,NATGASCM,TOTEXTSB,YTD2022,49516.098
GERMANY,BALANCE,NATGASCM,TOTEXTSB,YTD2023,20177.102
GREECE,BALANCE,NATGASCM,GDINCTRO,2021,6435.822
GREECE,BALANCE,NATGASCM,GDINCTRO,2022,5172.334
GREECE,BALANCE,NATGASCM,GDINCTRO,4Q2023,1177.759
GREECE,BALANCE,NATGASCM,GDINCTRO,DEC2022,463.528
GREECE,BALANCE,NATGASCM,GDINCTRO,DEC2023,445.017
GREECE,BALANCE,NATGASCM,GDINCTRO,YTD2022,5172.334
GREECE,BALANCE,NATGASCM,GDINCTRO,YTD2023,4650.789
GREECE,BALANCE,NATGASCM,INDPROD,2021,4.019
GREECE,BALANCE,NATGASCM,INDPROD,4Q2023,0.725
GREECE,BALANCE,NATGASCM,INDPROD,DEC2023,0.335
GREECE,BALANCE,NATGASCM,INDPROD,YTD2023,1.957
GREECE,BALANCE,NATGASCM,STCHANAT,2021,-31.599
GREECE,BALANCE,NATGASCM,STCHANAT,2022,74.814
GREECE,BALANCE,NATGASCM,STCHANAT,4Q2023,6.687
GREECE,BALANCE,NATGASCM,STCHANAT,DEC2022,82.733
GREECE,BALANCE,NATGASCM,STCHANAT,DEC2023,28.538
GREECE,BALANCE,NATGASCM,STCHANAT,YTD2022,74.814
GREECE,BALANCE,NATGASCM,STCHANAT,YTD2023,-102.8
GREECE,BALANCE,NATGASCM,TOTENTSB,2021,13337.416
GREECE,BALANCE,NATGASCM,TOTENTSB,2022,15945.201
GREECE,BALANCE,NATGASCM,TOTENTSB,4Q2023,4037.7
GREECE,BALANCE,NATGASCM,TOTENTSB,DEC2022,1568.937
GREECE,BALANCE,NATGASCM,TOTENTSB,DEC2023,1355.686
GREECE,BALANCE,NATGASCM,TOTENTSB,YTD2022,15945.201
GREECE,BALANCE,NATGASCM,TOTENTSB,YTD2023,15646.821
GREECE,BALANCE,NATGASCM,TOTEXTSB,2021,6878.297
